fecha,Amaluza,Mazar,Sopladora,Mazar_margen_sobre_min,Mazar_margen_bajo_max,Mazar_dentro_de_banda,Mazar_distancia_a_critico,Amaluza_margen_sobre_min,Amaluza_margen_bajo_max,Amaluza_dentro_de_banda,Sopladora_margen_sobre_min,Sopladora_margen_bajo_max,Sopladora_dentro_de_banda
2022-07-27,1990.81,2153.88,1316.23,55.88,-0.88,False,38.88,15.81,0.19,True,4.23,1.77,True
2022-07-28,1990.78,2153.69,1316.16,55.69,-0.69,False,38.69,15.78,0.22,True,4.16,1.84,True
2022-07-29,1990.71,2153.54,1316.53,55.54,-0.54,False,38.54,15.71,0.29,True,4.53,1.47,True
2022-07-30,1990.06,2153.52,1316.6,55.52,-0.52,False,38.52,15.06,0.94,True,4.6,1.4,True
2022-07-31,,,,,,False,,,,False,,,False
2022-08-01,1989.07,2153.32,1316.42,55.32,-0.32,False,38.32,14.07,1.93,True,4.42,1.58,True
2022-08-02,1988.01,2153.44,1316.46,55.44,-0.44,False,38.44,13.01,2.99,True,4.46,1.54,True
2022-08-03,1987.36,2153.54,1316.65,55.54,-0.54,False,38.54,12.36,3.64,True,4.65,1.35,True
2022-08-04,1988.01,2153.75,1316.13,55.75,-0.75,False,38.75,13.01,2.99,True,4.13,1.87,True
2022-08-05,1989.0,2153.75,1316.44,55.75,-0.75,False,38.75,14.0,2.0,True,4.44,1.56,True
2022-08-06,1990.26,2153.81,1316.34,55.81,-0.81,False,38.81,15.26,0.74,True,4.34,1.66,True
2022-08-07,1990.64,2153.64,1316.37,55.64,-0.64,False,38.64,15.64,0.36,True,4.37,1.63,True
2022-08-08,1990.39,2153.49,1316.22,55.49,-0.49,False,38.49,15.39,0.61,True,4.22,1.78,True
2022-08-09,1989.89,2153.48,1316.58,55.48,-0.48,False,38.48,14.89,1.11,True,4.58,1.42,True
2022-08-10,1991.17,2154.15,1316.44,56.15,-1.15,False,39.15,16.17,-0.17,False,4.44,1.56,True
2022-08-11,1991.24,2154.55,1316.67,56.55,-1.55,False,39.55,16.24,-0.24,False,4.67,1.33,True
2022-08-12,1990.69,2153.48,1317.01,55.48,-0.48,False,38.48,15.69,0.31,True,5.01,0.99,True
2022-08-13,1990.36,2153.17,1316.62,55.17,-0.17,False,38.17,15.36,0.64,True,4.62,1.38,True
2022-08-14,1989.64,2153.43,1316.63,55.43,-0.43,False,38.43,14.64,1.36,True,4.63,1.37,True
2022-08-15,1989.62,2153.27,1316.58,55.27,-0.27,False,38.27,14.62,1.38,True,4.58,1.42,True
2022-08-16,1989.15,2153.09,1316.35,55.09,-0.09,False,38.09,14.15,1.85,True,4.35,1.65,True
2022-08-17,1988.72,2152.91,1316.14,54.91,0.09,True,37.91,13.72,2.28,True,4.14,1.86,True
2022-08-18,1988.18,2152.61,1316.34,54.61,0.39,True,37.61,13.18,2.82,True,4.34,1.66,True
2022-08-19,1987.47,2152.23,1316.13,54.23,0.77,True,37.23,12.47,3.53,True,4.13,1.87,True
